,Country,City,Date,Max Temp,Cloudiness,Humidity,Lat,Lng,Wind Speed
81,CL,Illapel,1651939327,68.97,33,55,-31.6308,-71.1653,5.53
82,US,Hamilton,1651939201,57.04,100,84,39.1834,-84.5333,10.0
83,GL,Qaanaaq,1651939239,18.79,99,72,77.484,-69.3632,3.11
84,IR,Gachsaran,1651939328,75.16,36,42,30.3586,50.7981,8.52
85,NZ,Kaitangata,1651939242,53.13,98,84,-46.2817,169.8464,4.7
86,NZ,Waipawa,1651939329,55.13,95,79,-41.4122,175.5153,11.1
87,RU,Cherskiy,1651939261,26.26,99,99,68.75,161.3,0.65
88,PT,Lata,1651939241,82.49,100,38,40.1629,-8.3327,8.84
89,RU,Soligalich,1651939330,54.27,57,64,59.0778,42.2864,9.66
90,CO,Suárez,1651939330,82.2,29,60,2.954,-76.6964,2.77
91,US,Del Rio,1651939331,92.23,0,59,29.3627,-100.8968,11.43
92,CA,Thompson,1651939254,53.08,60,93,55.7435,-97.8558,9.44
93,GA,Port-Gentil,1651939332,82.36,75,78,-0.7193,8.7815,8.05
94,PF,Faanui,1651939332,80.96,14,77,-16.4833,-151.75,6.17
95,SO,Hobyo,1651939333,83.55,61,81,5.3505,48.5268,19.51
96,ZA,Bredasdorp,1651939061,56.44,12,74,-34.5322,20.0403,5.46
97,JP,Owase,1651939333,61.93,14,86,34.0667,136.2,5.14
98,US,Makakilo City,1651939284,73.72,100,74,21.3469,-158.0858,17.92
99,CF,Zemio,1651939334,72.39,100,80,5.0314,25.1361,3.49
100,GL,Narsaq,1651939305,53.82,100,78,60.9167,-46.05,3.89
101,ID,Padang,1651939335,75.25,100,91,-0.9492,100.3543,5.06
102,RE,Saint-Philippe,1651939254,74.79,39,81,-21.3585,55.7679,14.56
103,AU,Esperance,1651939220,57.74,60,48,-33.8667,121.9,14.81
104,NG,Wamba,1651939336,96.12,79,37,8.9333,8.6,6.78
105,GH,Agogo,1651939337,82.11,97,65,6.8,-1.0819,2.24
106,CA,Torbay,1651939308,43.27,64,64,47.6666,-52.7314,8.99
107,ZA,Saldanha,1651939337,59.67,1,68,-33.0117,17.9442,22.84
108,ID,Pangkalanbuun,1651939338,75.7,99,97,-2.6833,111.6167,0.6
109,CL,Ancud,1651939285,55.85,100,83,-41.8697,-73.8203,15.77
110,US,Nānākuli,1651939339,75.15,100,75,21.3906,-158.1547,15.1
111,CA,Port Hardy,1651939225,45.75,100,70,50.6996,-127.4199,7.7
112,CA,Iqaluit,1651939277,22.69,97,62,63.7506,-68.5145,11.99
113,RU,Tiksi,1651939269,8.35,16,94,71.6872,128.8694,8.61
114,CA,Fort Nelson,1651939225,37.92,100,81,58.8053,-122.7002,13.47
115,CN,Korla,1651939310,79.54,55,26,41.7597,86.1469,1.92
116,PT,Vila Franca do Campo,1651939341,68.41,95,89,37.7167,-25.4333,2.89
117,GA,Mayumba,1651939342,80.08,100,79,-3.432,10.6554,4.47
118,RU,Kargasok,1651939342,25.59,100,70,59.0556,80.8572,19.17
119,MN,Baruun-Urt,1651939343,41.11,80,24,46.6806,113.2792,5.26
120,AU,Alice Springs,1651939343,40.55,0,65,-23.7,133.8833,4.61
121,CA,Norman Wells,1651939279,38.55,100,77,65.282,-126.8329,1.61
122,JP,Shingū,1651939314,60.62,2,87,33.7333,135.9833,5.23
123,AU,Mount Gambier,1651939241,49.01,73,89,-37.8333,140.7667,5.23
124,RU,Palana,1651939347,29.26,100,96,59.1167,159.9667,34.63
125,KE,Moyale,1651939348,68.65,100,81,3.5167,39.0584,3.91
126,EE,Toila,1651939349,48.79,86,86,59.4236,27.5025,9.78
